Player,Tm,MP,PTS,AST,TRB,STL,BLK,TOV,FG%,3P%,FT%,GmSc,Games,PTS_per_min,AST_per_min,TRB_per_min
A.J. Green,MIL,21.998,7.659,1.273,2.25,0.545,0.114,0.614,0.426,0.395,0.14,5.405,44,0.348,0.058,0.102
Aaron Gordon,DEN,26.666,12.333,3.067,4.733,0.467,0.267,1.333,0.511,0.401,0.631,10.697,30,0.463,0.115,0.178
Aaron Holiday,HOU,11.372,4.222,1.194,0.944,0.361,0.111,0.472,0.346,0.276,0.222,3.097,36,0.371,0.105,0.083
Aaron Nesmith,IND,20.949,8.2,1.267,3.333,0.6,0.267,0.733,0.478,0.393,0.564,6.427,15,0.391,0.06,0.159
Aaron Wiggins,OKC,21.323,10.137,1.569,3.569,0.725,0.235,0.824,0.475,0.34,0.267,8.173,51,0.475,0.074,0.167
Adam Flagler,OKC,4.278,1.263,0.0,0.421,0.263,0.053,0.053,0.222,0.205,0.0,0.011,19,0.295,0.0,0.098
Adem Bona,PHI,10.94,3.0,0.306,2.833,0.194,0.75,0.667,0.532,0.0,0.328,2.931,36,0.274,0.028,0.259
Ajay Mitchell,OKC,16.483,6.429,1.686,1.971,0.686,0.086,0.8,0.446,0.336,0.426,5.14,35,0.39,0.102,0.12
Al Horford,BOS,26.203,7.85,1.925,5.25,0.6,0.85,0.725,0.393,0.323,0.2,7.297,40,0.3,0.073,0.2
Alec Burks,MIA,16.147,5.731,1.077,2.077,0.577,0.192,0.346,0.38,0.341,0.309,4.935,26,0.355,0.067,0.129
Alex Caruso,OKC,19.188,5.548,2.419,2.774,1.806,0.484,0.645,0.354,0.263,0.177,6.032,31,0.289,0.126,0.145
Alex Ducas,OKC,4.695,1.538,0.077,1.0,0.077,0.0,0.154,0.244,0.231,0.0,1.008,13,0.328,0.016,0.213
Alex Len,SAC,7.156,1.444,0.833,1.778,0.222,0.5,0.306,0.35,0.028,0.093,2.097,36,0.202,0.116,0.248
Alex Sarr,WAS,26.774,11.463,2.195,6.634,0.659,1.561,1.39,0.392,0.29,0.399,8.922,41,0.428,0.082,0.248
Alperen Sengun,HOU,31.383,18.771,5.0,10.457,1.229,0.914,2.457,0.48,0.186,0.663,16.889,35,0.598,0.159,0.333
Alperen Şengün,HOU,31.476,20.231,5.154,10.923,1.385,0.385,2.231,0.494,0.269,0.709,17.785,13,0.643,0.164,0.347
Amen Thompson,HOU,31.439,13.792,3.188,8.0,1.438,1.208,2.0,0.541,0.13,0.685,13.723,48,0.439,0.101,0.254
Amir Coffey,LAC,25.963,10.2,1.12,2.42,0.58,0.14,0.76,0.461,0.382,0.601,7.314,50,0.393,0.043,0.093
Andre Drummond,PHI,18.818,6.897,0.621,7.517,1.103,0.379,1.621,0.502,0.034,0.474,6.248,29,0.366,0.033,0.399
Andre Jackson,MIL,18.695,3.567,1.5,3.167,0.633,0.233,1.233,0.35,0.262,0.106,2.48,30,0.191,0.08,0.169
Andre Jackson Jr.,MIL,15.836,4.368,1.421,3.421,0.526,0.316,0.737,0.559,0.263,0.079,4.858,19,0.276,0.09,0.216
Andrew Nembhard,IND,28.517,10.853,5.088,3.441,1.265,0.118,1.765,0.503,0.306,0.51,9.726,34,0.381,0.178,0.121
Andrew Wiggins,GSW,30.146,17.558,2.349,4.581,0.93,0.767,1.302,0.433,0.363,0.685,13.188,43,0.582,0.078,0.152
Anfernee Simons,POR,32.276,18.438,4.979,2.75,0.833,0.104,2.083,0.413,0.344,0.641,12.783,48,0.571,0.154,0.085
Anthony Black,ORL,24.705,8.918,3.408,2.571,1.02,0.51,1.898,0.394,0.204,0.562,6.447,49,0.361,0.138,0.104
Anthony Davis,LAL,34.274,25.738,3.357,11.857,1.286,2.143,2.214,0.517,0.233,0.723,23.105,42,0.751,0.098,0.346
Anthony Edwards,MIN,36.729,27.216,4.529,5.784,1.137,0.686,3.451,0.444,0.41,0.799,18.784,51,0.741,0.123,0.157
Anthony Gill,WAS,5.787,1.833,0.194,0.806,0.167,0.056,0.167,0.292,0.139,0.167,1.383,36,0.317,0.034,0.139
Antonio Reeves,NOP,9.293,4.3,0.65,0.9,0.3,0.0,0.25,0.38,0.233,0.225,2.895,20,0.463,0.07,0.097
